ID,STD-PozZ-B-1,STD-PozZ-B-2,STD-PozZ-B-3,STD-PozZ-B-4,STD-PozZ-HF-1,STD-PozZ-HF-2,STD-PozZ-HF-3,STD-PozZ-HF-4,STD-PozZ-T-1,STD-PozZ-T-2,STD-PozZ-T-3,STD-PozZ-T-4
1,0.392378221,0.502070033,0.438198608,0.57485403,0.435086308,0.196903921,0.378300008,0.20717985,0.774747398,0.304910142,0.384338816,0.09632567
2,0.264857895,0.174927174,0.20188122,0.121919417,0.10721065,0.210144589,0.152443849,0.152356701,0.200902227,0.334190875,0.216894899,0.030350567
3,0.128995129,0.203249155,0.167037571,0.025574279,0.236245548,0.209823033,0.193832038,0.156213666,0.232777478,0.202992596,0.217562894,0.079532495
4,0.247100126,0.20111643,0.307852504,0.610487603,0.183863284,0.187543046,0.164324844,0.262665871,0.331334189,0.221642259,0.296225281,0.17379813
5,0.328067128,0.198438485,0.224387193,0.115501587,0.150221955,0.13501815,0.109095478,0.051487667,0.420513015,0.306762519,0.152734353,0.290867861
6,0.370298103,0.23857813,0.274493638,0.273707496,0.418629263,0.222323608,0.131254234,0.057845113,0.665753074,0.305359592,0.24824148,0.202863503
7,0.169903377,0.131172362,0.13766566,0.165746842,0.179899959,0.097302984,0.072364293,0.101127478,0.432635113,0.314942437,0.222197522,0.083195308
8,0.384822218,0.282263135,0.14417347,0.093168852,0.328178423,0.180455002,0.079368692,0.015972562,1.223788068,0.288743264,0.119404833,0.096418885
9,0.320074849,0.326763584,0.236917046,0.139518528,0.228657479,0.229042567,0.192463145,0.07236052,0.438941381,0.338330127,0.235259811,0.333282154
10,0.346188434,0.320692268,0.419723069,0.352252338,0.371156906,0.633056855,0.290622676,0.137513603,1.495267962,1.124725376,0.872915228,0.36541582
11,0.518779062,0.784888637,0.58563179,0.02188159,0.809416346,0.328401183,0.283218304,0.141896815,0.571940304,0.815736437,0.730311973,0.18678136
12,0.054024747,0.312178026,0.23876204,0.098602455,0.42285682,0.219205655,0.118943678,0.017059004,0.290457414,0.33936669,0.252218059,0.078044409
13,0.53253123,0.328306122,0.582529556,0.505942274,0.489021933,0.480690128,0.40392466,0.261091453,0.736026342,0.517202333,0.400739593,0.409711885
14,0.19555248,0.145363882,0.196604119,0.05027051,0.216375304,0.168326983,0.139035518,0.101138407,0.269185471,0.196672886,0.224455807,0.051590966
15,0.386367216,0.38578873,0.30984807,0.104060853,0.243729099,0.228931316,0.162014488,0.033224478,0.442666169,0.387251526,0.267733389,0.150803212
16,0.312120684,0.308260502,0.116369947,0.174308314,0.021578497,0.27176556,0.165926273,0.042146805,0.386629784,0.19617698,0.148123223,0.309978984
17,0.457158229,0.209598336,0.282167802,0.318405655,0.263514296,0.121797915,0.091662427,0.043750299,0.236885579,0.209701101,0.231564989,0.265680908
18,0.220095169,0.315882537,0.347632453,0.308091448,0.301815846,0.347632481,0.223049902,0.031586321,0.485626613,0.348591381,0.38813826,0.38813826
19,0.256319198,0.176293965,0.156429481,0.094040969,0.155276286,0.37828292,0.259525493,0.072317902,0.282701172,0.262515971,0.115851874,0.069848886
20,0.739931438,0.507954378,0.331242856,0.250418294,0.07949575,0.350353912,0.381326449,0.06833735,0.523646802,0.527015072,0.228493493,0.268618895
21,0.219797875,0.306953378,0.208132642,0.077041901,0.317934312,0.219532492,0.179705108,0.071328063,0.319384475,0.271709337,0.300064044,0.235794176
22,0.693582295,0.530698682,0.543071413,0.205842416,0.521713751,0.420548359,0.266614065,0.03542657,0.984684021,0.374218469,0.617016156,0.46009335
23,0.187053004,0.164456485,0.109091321,0.066828418,0.144968004,0.138764847,0.218365853,0.099878316,0.306546746,0.253347564,0.141953675,0.063804004
24,0.215912175,0.329007266,0.303537055,0.34400551,0.420075874,0.264893516,0.356638753,0.179745245,0.347211766,0.230445833,0.330806854,0.050133312
25,0.29592491,0.209228871,0.228203705,0.009200327,0.217168696,0.224635875,0.168536046,0.167598956,0.23915358,0.436620724,0.191641402,0.162014833
26,0.814460586,0.395923313,0.182096463,0.102049246,0.318345561,0.245088081,0.087924549,0.115974953,0.277264299,0.220821993,0.214243153,0.141146724
27,0.335153652,0.339707849,0.427852293,0.338850663,0.339706669,0.254927473,0.32824548,0.443371319,1.054080744,0.388305348,0.396063324,0.0783325
28,0.331285365,0.322687745,0.294602636,0.215831869,0.27721765,0.228335212,0.221195138,0.213332909,0.646721817,0.239782039,0.330593174,0.218216075
29,0.434305215,0.321989524,0.298138818,0.140766656,0.318425038,0.428577612,0.23560118,0.24770494,0.658112476,0.438830735,0.375157092,0.136779567
30,0.063800678,0.476460581,0.33220679,0.333642492,0.409727175,0.57609043,0.323008482,0.022682132,0.50572138,0.660534143,0.304330748,0.068364443
31,0.140209418,0.150914834,0.209274911,0.052208135,0.149787918,0.179459161,0.130106753,0.048616746,0.379745118,0.178127285,0.150603906,0.076947823
32,0.278053115,0.346442616,0.263872029,0.042797214,0.343295008,0.156666582,0.165793729,0.085251124,0.346740639,0.278060985,0.164706409,0.078082436
33,0.334525329,0.374070525,0.250660183,0.452707047,0.377563216,0.264573367,0.31865257,0.051861429,0.59926689,0.367226119,0.285253237,0.137329137
34,0.152788293,0.137793488,0.177156268,0.16093569,0.322137433,0.190632267,0.118016003,0.072942159,0.257720532,0.341321736,0.177402036,0.10268113
35,0.111277481,0.130399789,0.113471853,0.12156472,0.101385149,0.128367079,0.073549857,0.065924216,0.312803485,0.198792099,0.130427145,0.07727826
36,0.519684378,0.420248197,0.38087616,0.381961378,0.138185905,0.209553464,0.270691656,0.133122527,0.221429244,0.388276448,0.488477166,0.132535876
37,0.14579681,0.255385135,0.253145019,0.120017257,0.21824132,0.118924021,0.127855209,0.028150173,0.281534137,0.288517295,0.316099942,0.116152355
38,0.362949529,0.19354841,0.29915203,0.210290193,0.290468145,0.208211251,0.11831791,0.115835331,0.603835086,0.292667158,0.154649418,0.067593895
39,0.205125448,0.326168455,0.346986007,0.063975887,0.136791324,0.180407503,0.229413531,0.063038175,0.365715131,0.409299715,0.223407355,0.051551776
40,0.019734813,0.324259706,0.474534359,0.119111577,0.212047271,0.305962559,0.277508868,0.169411999,0.459607073,0.402377199,0.425209755,0.199939542