ID,driving style
1,Conservative
2,Moderate
3,Moderate
4,Moderate
5,Moderate
6,Conservative
7,Moderate
8,Moderate
9,Conservative
10,Moderate
11,Aggressive
12,Conservative
13,Moderate
14,Aggressive
15,Moderate
16,Conservative
17,Conservative
18,Aggressive
19,Moderate
20,Moderate
21,Aggressive
22,Moderate
23,Moderate
24,Moderate
25,Moderate
26,Moderate
27,Conservative
28,Moderate
29,Moderate
30,Moderate
31,Conservative
32,Conservative
33,Moderate
34,Moderate
35,Moderate
36,Moderate
37,Moderate
38,Conservative
39,Conservative
40,Moderate